Title,Proficiency,User
Arabic,Native or bilingual proficiency,ahmed-abdelsalam-a8933842
English,Professional working proficiency,ahmed-abdelsalam-a8933842
Arabic,Native or bilingual proficiency,ahmed-alsaey-995017177
English,Native or bilingual proficiency,ahmed-alsaey-995017177
French,Elementary proficiency,ahmed-alsaey-995017177
Arabic,Native or bilingual proficiency,ahmed-eldakhakhny
English,Full professional proficiency,ahmed-eldakhakhny
German,Limited working proficiency,ahmed-eldakhakhny
Arabic,Native or bilingual proficiency,ahmed-elgarem-b996b065
English,Native or bilingual proficiency,ahmed-elgarem-b996b065
French,Elementary proficiency,ahmed-elgarem-b996b065
Arabic,Native or bilingual proficiency,ahmed-elqaffas
English,Professional working proficiency,ahmed-elqaffas
Arabic,Native or bilingual proficiency,ahmed-hani-ibrahim-07270960
English,Full professional proficiency,ahmed-hani-ibrahim-07270960
French,Limited working proficiency,ahmed-hani-ibrahim-07270960
Arabic,,ahmed-hisham-7a250260
English,,ahmed-hisham-7a250260
French,,ahmed-hisham-7a250260
English,Professional working proficiency,ahmed-khaled-221433142
Arabic,Native or bilingual proficiency,ahmed-khaled-a53363193
English,Professional working proficiency,ahmed-khaled-a53363193
English,Professional working proficiency,ahmed-m-hamed
Arabic,Native or bilingual proficiency,ahmed-moamen-897359180
English,Limited working proficiency,ahmed-moamen-897359180
Arabic,Native or bilingual proficiency,ahmed-mohamed-akl
English,Professional working proficiency,ahmed-mohamed-akl
English,Native or bilingual proficiency,ahmed-nageh-0921b9128
German,Elementary proficiency,ahmed-nageh-0921b9128
Arabic,Native or bilingual proficiency,ahmed-samir-58250284
English,Professional working proficiency,ahmed-samir-58250284
Arabic,Native or bilingual proficiency,ahmed-samir-83474a121
English,Full professional proficiency,ahmed-samir-83474a121
Arabic,Native or bilingual proficiency,ahmed-samir-b0206b1b8
English,Professional working proficiency,ahmed-samir-b0206b1b8
Arabic,Native or bilingual proficiency,ahmed-samy-datascientist
English,Professional working proficiency,ahmed-samy-datascientist
French,Elementary proficiency,ahmed-samy-datascientist
Arabic,Native or bilingual proficiency,ahmed-sayed-mansour-139101182
English,Professional working proficiency,ahmed-sayed-mansour-139101182
Arabic,Native or bilingual proficiency,ahmed-wael-3b61a0111
English,Full professional proficiency,ahmed-wael-3b61a0111
German,Elementary proficiency,ahmed-wael-3b61a0111
Arabic,Native or bilingual proficiency,ahmed-younis-57208a150
English,Full professional proficiency,ahmed-younis-57208a150
Arabic,,ahmed-yousry12
English,,ahmed-yousry12
Arabic,,ahmedabdallahnasr
English,,ahmedabdallahnasr
Spanish,,ahmedabdallahnasr
Arabic,Native or bilingual proficiency,ahmedabuamra
English,Professional working proficiency,ahmedabuamra
French,Elementary proficiency,ahmedabuamra
Arabic,Native or bilingual proficiency,ahmedeltaweel
English,Professional working proficiency,ahmedeltaweel
German,Elementary proficiency,ahmedeltaweel
Arabic,Native or bilingual proficiency,ahmedessam-12
English,Limited working proficiency,ahmedessam-12
French,Elementary proficiency,ahmedessam-12
Arabic,Native or bilingual proficiency,ahmedfathykhalid
English,Full professional proficiency,ahmedfathykhalid
German,Elementary proficiency,ahmedfathykhalid
Arabic,,ahmedfrontend
English,Native or bilingual proficiency,ahmedfrontend
Arabic,Native or bilingual proficiency,ahmedhamed2020
English,Native or bilingual proficiency,ahmedhamed2020
French,Professional working proficiency,ahmedhamed2020
Arabic,Native or bilingual proficiency,ahmedhemaz
English,Professional working proficiency,ahmedhemaz
German,Elementary proficiency,ahmedhemaz
Arabic,Native or bilingual proficiency,ahmedhussam
English,Professional working proficiency,ahmedhussam
Arabic,Native or bilingual proficiency,ahmedmabrouck
English,Professional working proficiency,ahmedmabrouck
English,Professional working proficiency,ahmednasser23
German,Elementary proficiency,ahmednasser23
Arabic,Native or bilingual proficiency,ahmednmahran
English,Professional working proficiency,ahmednmahran
French,Elementary proficiency,ahmednmahran
Arabic,Native or bilingual proficiency,ahmedtremo
English,Full professional proficiency,ahmedtremo
German,Elementary proficiency,ahmedtremo
Arabic,Full professional proficiency,ahmedyassernosseir
English,Professional working proficiency,ahmedyassernosseir
Arabic,Native or bilingual proficiency,ahmibr68
English,Professional working proficiency,ahmibr68
Arabic,Native or bilingual proficiency,aielawady
English,Professional working proficiency,aielawady
Arabic,,alaa-moaataz-3740308b
English,,alaa-moaataz-3740308b
English,,alaa-moustapha
Italian,,alaa-moustapha
arabic,Professional working proficiency,alaa-moustapha
Arabic,Native or bilingual proficiency,alaagamaall
English,Professional working proficiency,alaagamaall
German,Elementary proficiency,alaagamaall
Arabic,Native or bilingual proficiency,aliaa-attia
English,Limited working proficiency,aliaa-attia
Arabic,Native or bilingual proficiency,aliabdelaal
English,Professional working proficiency,aliabdelaal
Arabic,Native or bilingual proficiency,alielsherbiny
English,Full professional proficiency,alielsherbiny
French,Limited working proficiency,alielsherbiny
Arabic,,alien0x
English,,alien0x
Arabic,Native or bilingual proficiency,alimagedayad
English,Full professional proficiency,alimagedayad
Arabic,Native or bilingual proficiency,aly-ramzy-24450b179
English,Professional working proficiency,aly-ramzy-24450b179
Arabic,,alyeldegwy
English,,alyeldegwy
Arabic,,alyymagdy
English,,alyymagdy
French,,alyymagdy
Arabic,Native or bilingual proficiency,aman-allah-rafat
English,Full professional proficiency,aman-allah-rafat
German,Elementary proficiency,aman-allah-rafat
English,,amir-attya
Arabic,,amira-ashmawy-247252a1
English,,amira-ashmawy-247252a1
Arabic,Native or bilingual proficiency,amira-mamoun-395b4862
English,Full professional proficiency,amira-mamoun-395b4862
Arabic,Native or bilingual proficiency,amiramamdouh
English,Full professional proficiency,amiramamdouh
french,Professional working proficiency,amiramamdouh
Arabic,Native or bilingual proficiency,aml-esmail-42a8b611b
English,Professional working proficiency,aml-esmail-42a8b611b
Arabic,Native or bilingual proficiency,amoharib
English,Professional working proficiency,amoharib
Arabic,Native or bilingual proficiency,amr-alaaeldin-ismail
English,Professional working proficiency,amr-alaaeldin-ismail
German,,amr-alaaeldin-ismail
English,Full professional proficiency,amr-anwr-aa92211b2
English,Professional working proficiency,amr-elyamany-0158a26b
French,Limited working proficiency,amr-elyamany-0158a26b
Arabic,Native or bilingual proficiency,amr-m-abdelgawad
English,Professional working proficiency,amr-m-abdelgawad
Arabic,Native or bilingual proficiency,amr-magdy-095007131
English,Professional working proficiency,amr-magdy-095007131
Arabic,Native or bilingual proficiency,amrelrouby
English,Full professional proficiency,amrelrouby
Arabic,Native or bilingual proficiency,amrmustafa97
English,Professional working proficiency,amrmustafa97
Arabic,,amrtarekmo
English,,amrtarekmo
Arabic,Native or bilingual proficiency,antoun-wagdy-025443b6
English,Professional working proficiency,antoun-wagdy-025443b6
Arabic,Native or bilingual proficiency,arrashed
English,Full professional proficiency,arrashed
Arabic,Native or bilingual proficiency,asmaa-elsayed-ahmed
English,Professional working proficiency,asmaa-elsayed-ahmed
German,Elementary proficiency,asmaa-elsayed-ahmed
Arabic,Full professional proficiency,asmaa-esam-a17b23189
English,Limited working proficiency,asmaa-esam-a17b23189
Arabic,Native or bilingual proficiency,atefgad
English,Professional working proficiency,atefgad
Arabic,Native or bilingual proficiency,aya-hussein-19a359134
English,Professional working proficiency,aya-hussein-19a359134
English,Full professional proficiency,ayah-elmaghraby
English,,ayatoullah-ramzy
German,Elementary proficiency,ayatoullah-ramzy
Arabic,Native or bilingual proficiency,azizmousa
English,Elementary proficiency,azizmousa
Arabic,Native or bilingual proficiency,bahaa-el-deen-b71902156
English,Professional working proficiency,bahaa-el-deen-b71902156
Arabic,Native or bilingual proficiency,baselrabia
Dutch,Elementary proficiency,baselrabia
English,Professional working proficiency,baselrabia
Arabic,Native or bilingual proficiency,bassemomar
English,Full professional proficiency,bassemomar
Arabic,Native or bilingual proficiency,bassent-abuzeid-28178b128
English,Professional working proficiency,bassent-abuzeid-28178b128
French,Elementary proficiency,bassent-abuzeid-28178b128
English,Limited working proficiency,belal-abdelnasser-04
English,Professional working proficiency,belal-elgendy-328688113
Arabic,Native or bilingual proficiency,beshoy-samy-227855110
English,Full professional proficiency,beshoy-samy-227855110
German,Elementary proficiency,beshoy-samy-227855110
Arabic,Native or bilingual proficiency,bishoy-boules-668320164
English,Full professional proficiency,bishoy-boules-668320164
German,Limited working proficiency,bishoy-boules-668320164
Arabic,,bishoyatif
English,,bishoyatif
Arabic,Full professional proficiency,dalia-mooh
English,Limited working proficiency,dalia-mooh
Arabic,,dalia-saeed-3804a7147
English,,dalia-saeed-3804a7147
Arabic,Native or bilingual proficiency,daliaihab
English,Full professional proficiency,daliaihab
Arabic,Native or bilingual proficiency,dibo
Arabic,Native or bilingual proficiency,dibo
English,Full professional proficiency,dibo
"Bokmål, Norwegian",Native or bilingual proficiency,dilawar
English,Full professional proficiency,dilawar
German,Limited working proficiency,dilawar
Arabic,Native or bilingual proficiency,dina-adel-shalabi-39a926135
English,Professional working proficiency,dina-adel-shalabi-39a926135
French,Elementary proficiency,dina-adel-shalabi-39a926135
Arabic,,dina-alaa-20a5091a7
English,,dina-alaa-20a5091a7
German,,dina-alaa-20a5091a7
Arabic,Native or bilingual proficiency,dina-elkholy14
English,Full professional proficiency,dina-elkholy14
French,Elementary proficiency,dina-elkholy14
Excellent in English .,,dinakhorshed
Good in French.,,dinakhorshed
Arabic,Native or bilingual proficiency,doaa-hindawii-b542a71b4
English,Full professional proficiency,doaa-hindawii-b542a71b4
Arabic,Native or bilingual proficiency,ehab-terra-271b3a23
English,Limited working proficiency,ehab-terra-271b3a23
Arabic,Native or bilingual proficiency,emad2nd
English,Professional working proficiency,emad2nd
French,Limited working proficiency,emad2nd
English,Professional working proficiency,eman-abdel-ghaffar-75587070
French,Limited working proficiency,eman-abdel-ghaffar-75587070
English,Professional working proficiency,eman-hosam-18b2a4103
Arabic,Full professional proficiency,eman-othman-26634914a
English,Professional working proficiency,eman-othman-26634914a
Arabic,Native or bilingual proficiency,eman-rafik-00973416b
English,Professional working proficiency,eman-rafik-00973416b
French,Elementary proficiency,eman-rafik-00973416b
Arabic,Native or bilingual proficiency,engkhaledmousa
English,Full professional proficiency,engkhaledmousa
Arabic,,eslam--adel
English,,eslam--adel
Arabic,Native or bilingual proficiency,eslam-abuelseaoud
English,Professional working proficiency,eslam-abuelseaoud
German,Elementary proficiency,eslam-abuelseaoud
Arabic,Native or bilingual proficiency,eslam-adel-07
English,Professional working proficiency,eslam-adel-07
English,Professional working proficiency,eslam-adel-163694b2
Arabic,Native or bilingual proficiency,eslam-elgedawy
English,Professional working proficiency,eslam-elgedawy
Arabic,Native or bilingual proficiency,eslam-khaled-ek
English,Native or bilingual proficiency,eslam-khaled-ek
French,Elementary proficiency,eslam-khaled-ek
Arabic,Native or bilingual proficiency,eslam-khodair
English,Native or bilingual proficiency,eslam-khodair
Arabic,Native or bilingual proficiency,eslam-samy-1210
English,Native or bilingual proficiency,eslam-samy-1210
Arabic,Native or bilingual proficiency,esmail-elmoussel
English,Full professional proficiency,esmail-elmoussel
Arabic,Native or bilingual proficiency,esmail-hany
English,Professional working proficiency,esmail-hany
English,Professional working proficiency,fadiakhaled
English,Native or bilingual proficiency,fady-abouelghit-083533b7
German,Limited working proficiency,fady-abouelghit-083533b7
Arabic,Native or bilingual proficiency,fady-attia-01
English,Full professional proficiency,fady-attia-01
Arabic,Native or bilingual proficiency,fady-khalil-5a23961b0
English,Full professional proficiency,fady-khalil-5a23961b0
French,Full professional proficiency,fady-khalil-5a23961b0
Arabic,Native or bilingual proficiency,fadyek
English,Professional working proficiency,fadyek
Arabic,Native or bilingual proficiency,fadyelhalfawy
English,Full professional proficiency,fadyelhalfawy
Arabic,Native or bilingual proficiency,fatma-elbadry-52a179115
English,Professional working proficiency,fatma-elbadry-52a179115
Arabic,Native or bilingual proficiency,fatma-moanes
English,Full professional proficiency,fatma-moanes
French,Elementary proficiency,fatma-moanes
Arabic,Native or bilingual proficiency,fatma-sarhan-a4405296
English,Limited working proficiency,fatma-sarhan-a4405296
Arabic,Native or bilingual proficiency,fayrouz-yehia
English,Professional working proficiency,fayrouz-yehia
French,Elementary proficiency,fayrouz-yehia
Arabic,Native or bilingual proficiency,fekri102
English,Professional working proficiency,fekri102
Arabic,,fouad-ayman-bb3803103
English,,fouad-ayman-bb3803103
Arabic,,gamal-saied-529337124
English,Professional working proficiency,gamal-saied-529337124
English,Professional working proficiency,ghareeb-elshaikh-a0a750134
Arabic,Native or bilingual proficiency,gsagomaasayedismail
English,Professional working proficiency,gsagomaasayedismail
Arabic,Native or bilingual proficiency,habiba-ahmed-ab41a6193
English,Full professional proficiency,habiba-ahmed-ab41a6193
Arabic,Native or bilingual proficiency,habiba-maziad
English,Professional working proficiency,habiba-maziad
Arabic,Native or bilingual proficiency,habibamahmoud
English,Professional working proficiency,habibamahmoud
German,Elementary proficiency,habibamahmoud
Arabic,Native or bilingual proficiency,hadeer-ahmed-43b875102
English,Professional working proficiency,hadeer-ahmed-43b875102
English,Limited working proficiency,hafez-a-elmohsen-7601aa16
English,,hafez-a-elmohsen-7601aa16
Arabic,,hajar-omar-460394118
English,,hajar-omar-460394118
Arabic,Native or bilingual proficiency,hamzafouad
English,Full professional proficiency,hamzafouad
Arabic . English,,hanan-shaaban-012416147
Arabic,Native or bilingual proficiency,hassan-osama
English,Professional working proficiency,hassan-osama
Arabic,Native or bilingual proficiency,hayamsaleh
English,Professional working proficiency,hayamsaleh
Arabic,Native or bilingual proficiency,hazem-el-sherif-118083139
English,Professional working proficiency,hazem-el-sherif-118083139
English,Limited working proficiency,hazem-emad-a1a8891b2
Arabic,Native or bilingual proficiency,hazem-khaled-951a991b2
English,Full professional proficiency,hazem-khaled-951a991b2
Arabic,Native or bilingual proficiency,hazem-mamdouh-fekry-979534ab
English,Full professional proficiency,hazem-mamdouh-fekry-979534ab
French,Limited working proficiency,hazem-mamdouh-fekry-979534ab
Arabic,Native or bilingual proficiency,hazemkak
English,Professional working proficiency,hazemkak
Arabic,,heba-abdelhakam
English,,heba-abdelhakam
Arabic,,heba-abdelnasser
English,,heba-abdelnasser
Arabic,Native or bilingual proficiency,hemdan99
English,,hemdan99
Arabic,Native or bilingual proficiency,hend-ibrahim
English,Full professional proficiency,hend-ibrahim
Arabic,Native or bilingual proficiency,heshamelbahey
English,Full professional proficiency,heshamelbahey
German,Elementary proficiency,heshamelbahey
Arabic,Native or bilingual proficiency,hkhairy
English,Professional working proficiency,hkhairy
French,Elementary proficiency,hkhairy
Arabic,Native or bilingual proficiency,hodaragaie
English,Full professional proficiency,hodaragaie
Arabic,,hossam-khir-allah
English,,hossam-khir-allah
French,,hossam-khir-allah
Arabic,Native or bilingual proficiency,hossam-salah-emam
English,Professional working proficiency,hossam-salah-emam
Arabic,Native or bilingual proficiency,hossammourad
English,Full professional proficiency,hossammourad
Arabic,Native or bilingual proficiency,husseinfadl
English,Full professional proficiency,husseinfadl
French,Limited working proficiency,husseinfadl
Arabic,Native or bilingual proficiency,husseinraoouf
English,Professional working proficiency,husseinraoouf
Arabic,,hussienibrahiem
English,,hussienibrahiem
Arabic,,hzmessam
English,,hzmessam
Arabic,Native or bilingual proficiency,iahmedmaher
English,Full professional proficiency,iahmedmaher
French,Limited working proficiency,iahmedmaher
Arabic,Native or bilingual proficiency,iar96
English,Limited working proficiency,iar96
English,Professional working proficiency,ibrahim-ahmed-1106
Arabic,Native or bilingual proficiency,ibrahim-ali-mo
English,Limited working proficiency,ibrahim-ali-mo
Arabic,Native or bilingual proficiency,ibrahim-fouad
English,Limited working proficiency,ibrahim-fouad
Arabic,Native or bilingual proficiency,ibrahim-sobh-phd-8681757
English,Professional working proficiency,ibrahim-sobh-phd-8681757
Arabic,,ibrahimelsaidsaad
English,Professional working proficiency,ibrahimelsaidsaad
Arabic,Native or bilingual proficiency,ihab-ahmed
English,Professional working proficiency,ihab-ahmed
German,Elementary proficiency,ihab-ahmed
Arabic,Native or bilingual proficiency,islam-ahmed-54a2b899
English,Professional working proficiency,islam-ahmed-54a2b899
Arabic,Native or bilingual proficiency,islam-elmas
English,Full professional proficiency,islam-elmas
English,,islam-elsayed-52639a41
Arabic,,islam-hassan-b733aa23
English,,islam-hassan-b733aa23
Arabic,Native or bilingual proficiency,islammahamed
English,Professional working proficiency,islammahamed
English,Native or bilingual proficiency,islammoneer
Arabic,Native or bilingual proficiency,islammuhamed
English,Limited working proficiency,islammuhamed
Arabic,,ismailsamiribrahim
English,,ismailsamiribrahim
Arabic,Native or bilingual proficiency,kamal-aly-346137115
English,Professional working proficiency,kamal-aly-346137115
Arabic,Native or bilingual proficiency,kareem-s-a6a5b4ba
English,Full professional proficiency,kareem-s-a6a5b4ba
German,Elementary proficiency,kareem-s-a6a5b4ba
Arabic,Native or bilingual proficiency,kariim8
English,Professional working proficiency,kariim8
German,Elementary proficiency,kariim8
Arabic,Native or bilingual proficiency,karim-el-azzouni-29002385
English,Full professional proficiency,karim-el-azzouni-29002385
French,Elementary proficiency,karim-el-azzouni-29002385
Arabic,Native or bilingual proficiency,karimmostafa0717
English,Professional working proficiency,karimmostafa0717
German,Limited working proficiency,karimmostafa0717
English,Limited working proficiency,kazafy-sayed-b2546693
عربى,Elementary proficiency,kazafy-sayed-b2546693
Arabic,Native or bilingual proficiency,kelawaad
English,Full professional proficiency,kelawaad
Spanish,Elementary proficiency,kelawaad
Arabic,Native or bilingual proficiency,khaled-amgad-21040a200
English,Professional working proficiency,khaled-amgad-21040a200
German,Elementary proficiency,khaled-amgad-21040a200
Arabic,Native or bilingual proficiency,khaled-sobhy-6b174b131
English,Professional working proficiency,khaled-sobhy-6b174b131
Arabic,Native or bilingual proficiency,khalidhsoliman
English,Professional working proficiency,khalidhsoliman
Arabic,Native or bilingual proficiency,khalidzeiter
English,Professional working proficiency,khalidzeiter
English,,kirollos-georges-63b34b97
French,,kirollos-georges-63b34b97
Arabic,Native or bilingual proficiency,kirollos-n
English,Full professional proficiency,kirollos-n
French,Professional working proficiency,kirollos-n
Arabic,Native or bilingual proficiency,komtcho
English,Full professional proficiency,komtcho
English,,louees-nabil-944468100
العربية,,louees-nabil-944468100
English,,maboelnour
Arabic,Native or bilingual proficiency,maged-mo
English,Full professional proficiency,maged-mo
Arabic,,mahmoud-abd-el-mawgoed-23b55218b
English,,mahmoud-abd-el-mawgoed-23b55218b
English,Professional working proficiency,mahmoud-adel-mansour
العربيه,Native or bilingual proficiency,mahmoud-adel-mansour
Arabic,Native or bilingual proficiency,mahmoud-ahmed-01750618a
English,Professional working proficiency,mahmoud-ahmed-01750618a
Arabic,Native or bilingual proficiency,mahmoud-biltagy
English,Professional working proficiency,mahmoud-biltagy
German,Elementary proficiency,mahmoud-biltagy
English,Limited working proficiency,mahmoud-eltantawy
Arabic,Native or bilingual proficiency,mahmoud-emam-65737a31
English,Professional working proficiency,mahmoud-emam-65737a31
Arabic,Native or bilingual proficiency,mahmoud-hawas
English,Professional working proficiency,mahmoud-hawas
Arabic,Native or bilingual proficiency,mahmoud-magdy-ayoub
English,Professional working proficiency,mahmoud-magdy-ayoub
Arabic,,mahmoud-salah-2b0235101
English,,mahmoud-salah-2b0235101
Arabic,Native or bilingual proficiency,mahmoud-shawky
English,Professional working proficiency,mahmoud-shawky
Arabic,Native or bilingual proficiency,mahmoudabdulfatah
English,Professional working proficiency,mahmoudabdulfatah
Arabic,Native or bilingual proficiency,mahmoudkkandil
English,Professional working proficiency,mahmoudkkandil
Italian,Limited working proficiency,mahmoudkkandil
Arabic,Native or bilingual proficiency,mahmoudzidan
English,Native or bilingual proficiency,mahmoudzidan
French,Elementary proficiency,mahmoudzidan
Arabic,Native or bilingual proficiency,mai-elshiashi
English,Professional working proficiency,mai-elshiashi
Arabic,Native or bilingual proficiency,mai-mohamed-sadek-0783b436
English,Professional working proficiency,mai-mohamed-sadek-0783b436
Arabic,Native or bilingual proficiency,majidzeno
English,Professional working proficiency,majidzeno
Arabic,Native or bilingual proficiency,manar-anwar
English,Professional working proficiency,manar-anwar
Arabic,Native or bilingual proficiency,marammohammad
English,Professional working proficiency,marammohammad
Arabic,Native or bilingual proficiency,mariam-el-seddiek
English,,mariam-el-seddiek
German,,mariam-el-seddiek
Arabic,Native or bilingual proficiency,mariam-samir-b200b4176
English,Professional working proficiency,mariam-samir-b200b4176
French,Full professional proficiency,mariam-samir-b200b4176
Arabic,Native or bilingual proficiency,mariamyehya
English,Full professional proficiency,mariamyehya
French,Elementary proficiency,mariamyehya
Arabic,Native or bilingual proficiency,marina-eldib
English,Native or bilingual proficiency,marina-eldib
French,Native or bilingual proficiency,marina-eldib
Arabic,Native or bilingual proficiency,marina-magdy
English,Professional working proficiency,marina-magdy
French,Elementary proficiency,marina-magdy
Arabic,,marina-wafik-7294731b4
English,,marina-wafik-7294731b4
French,,marina-wafik-7294731b4
Arabic,Native or bilingual proficiency,marwa-abdullah
English,Limited working proficiency,marwa-abdullah
Arabic,Native or bilingual proficiency,marwan-m-sallam
English,Full professional proficiency,marwan-m-sallam
Arabic,,maryam-ahmed-065b9823
English,,maryam-ahmed-065b9823
Arabic,,maryammehab
English,,maryammehab
Arabic,Native or bilingual proficiency,maryamshalaby
English,Full professional proficiency,maryamshalaby
Arabic,Native or bilingual proficiency,matef99
English,Professional working proficiency,matef99
Arabic,Native or bilingual proficiency,mayar-nour-3230b0153
English,Professional working proficiency,mayar-nour-3230b0153
German,Limited working proficiency,mayar-nour-3230b0153
English,,melhelbawy
Arabic,Native or bilingual proficiency,meltabbakh
English,Limited working proficiency,meltabbakh
Arabic,Native or bilingual proficiency,menna-el-gedawy
English,Full professional proficiency,menna-el-gedawy
French,Elementary proficiency,menna-el-gedawy
Arabic,Native or bilingual proficiency,menna-fadali998
English,Full professional proficiency,menna-fadali998
French,Limited working proficiency,menna-fadali998
Arabic (Mother Tongue),,mennabadr
English (fluent),,mennabadr
Arabic,Native or bilingual proficiency,mennamos
English,Professional working proficiency,mennamos
German,Elementary proficiency,mennamos
Arabic,Native or bilingual proficiency,merna-zakaria-03017a187
English,Professional working proficiency,merna-zakaria-03017a187
Arabic,Full professional proficiency,mervat-mosaad-596864a9
English,Elementary proficiency,mervat-mosaad-596864a9
Arabic,Native or bilingual proficiency,mfouad
English,Professional working proficiency,mfouad
Arabic,Native or bilingual proficiency,mgelgazar
English,Professional working proficiency,mgelgazar
Arabic,Native or bilingual proficiency,mheshamc137
English,Full professional proficiency,mheshamc137
Arabic,Full professional proficiency,michael-magdy-910260183
English,Full professional proficiency,michael-magdy-910260183
French,Full professional proficiency,michael-magdy-910260183
Arabic,Native or bilingual proficiency,mina-maher-3523688b
English,Full professional proficiency,mina-maher-3523688b
Arabic,Native or bilingual proficiency,mina-maher666
English,Professional working proficiency,mina-maher666
Arabic,Native or bilingual proficiency,mina-malak-loutfi-2a397213b
English,Professional working proficiency,mina-malak-loutfi-2a397213b
Italian,Full professional proficiency,mina-malak-loutfi-2a397213b
Arabic,Native or bilingual proficiency,mina-n-w-s
English,Professional working proficiency,mina-n-w-s
Arabic,Native or bilingual proficiency,mina-nasrallah-a21b30122
English,Professional working proficiency,mina-nasrallah-a21b30122
Arabic,Native or bilingual proficiency,mirette-maged-aa326a17a
English,Professional working proficiency,mirette-maged-aa326a17a
French,Elementary proficiency,mirette-maged-aa326a17a
Arabic,Native or bilingual proficiency,moamen-ihab-elsayed
English,Full professional proficiency,moamen-ihab-elsayed
German,Elementary proficiency,moamen-ihab-elsayed
Arabic,Native or bilingual proficiency,moameneltouny
English,Professional working proficiency,moameneltouny
German,Elementary proficiency,moameneltouny
English,Full professional proficiency,moataz-elsakkar
Arabic,Native or bilingual proficiency,moelzanaty3
English,Professional working proficiency,moelzanaty3
German,Limited working proficiency,moelzanaty3
Arabic,,moemenalaa97
English,,moemenalaa97
Arabic,Full professional proficiency,moh-khattab
English,Professional working proficiency,moh-khattab
Arabic,Native or bilingual proficiency,mohab-hossam-398487127
English,Full professional proficiency,mohab-hossam-398487127
French,Professional working proficiency,mohab-hossam-398487127
Arabic,Native or bilingual proficiency,mohab-mohamed-6804aa139
English,Full professional proficiency,mohab-mohamed-6804aa139
Arabic,Native or bilingual proficiency,mohabelhawawshy
English,Professional working proficiency,mohabelhawawshy
English,Professional working proficiency,mohamed-a-mahrous
