name,logo,banner,description,tagLine,followerCount,website,domain,location,companyAddress,phone,industry,companySize,headquarters,founded,specialties,mainCompanyID,linkedinID,salesNavigatorLink,employeesOnLinkedIn,companyName,query,timestamp,companyUrl,error,isClaimable
Petrosannan Company ,https://media.licdn.com/dms/image/C4E0BAQGf2f0BVF9JXQ/company-logo_200_200/0/1519879033437?e=1691625600&v=beta&t=tpI_YZQYm0HLDoTIyoaT2HG-ONsdHouYKgzewShjBNo,,Petroleum Company,,1234,,,Cairo,"Cairo, EG",,Oil and Gas,51-200 employees,,2010,,22301516,22301516,https://www.linkedin.com/sales/company/22301516/,60,Petrosannan Company ,https://www.linkedin.com/company/22301516/,2023-05-05T15:31:42.128Z,https://www.linkedin.com/company/petrosannancompany/,,
Mind Cloud ,https://media.licdn.com/dms/image/C4D0BAQFGqMs5SJsV9g/company-logo_200_200/0/1519890310843?e=1691625600&v=beta&t=ZCyYc9cMlM6HRVBMqboQIVVQJ0ne4EyIrJjmTtHU5Z4,https://media.licdn.com/dms/image/C4D1BAQHvN4teMT3G_A/company-background_10000/0/1519797699642?e=1683907200&v=beta&t=nRYjNizAu3vTE2SVWxAqZDF4vHOISB5e7u4ipqMD6p4,"A gathering of passionate engineering students at faculty of engineering Alexandria university whom dedicated their knowledge to prepare engineering students to embrace the engineering field in Egypt.
Under the slogan of “ultimate innovation” we use the integration between engineering departments to keep up and engage the robotics industry and innovations in Egypt and the world.
the team first creation was after the gathering of the eldest generation under the sack of knowledge and science and their desire to apply theoretical science by self-leaning. So, their first contributions were in UGVC 2016 competition and they were awarded the third place internationally. the achievements consequently continued, as they had effective contributions in many competitions as IRC 2016, minesweeper. Finally, awarded the third place internationally UGVC 2017 competition.
",,443,,,Alexandria ,"faculty of engineering Alexandria university , Alexandria , robotics  team 03, OO",,Industrial Machinery Manufacturing,11-50 employees,"Alexandria , robotics  team",2016,"mechanical engineering  , electronics engineering , software engineering , embedded systems engineering , and VLSI",18349310,18349310,https://www.linkedin.com/sales/company/18349310/,22,Mind Cloud ,https://www.linkedin.com/company/18349310/,2023-05-05T15:31:49.926Z,https://www.linkedin.com/company/mind-cloud/,,
Winter Partners,,,,,20,http://www.wipar.ch/,wipar.ch,,,,IT Services and IT Consulting,,,,,1425951,,https://www.linkedin.com/sales/company/1425951/,5,Winter Partners,https://www.linkedin.com/company/1425951/,2023-05-05T15:31:57.587Z,https://www.linkedin.com/company/winter-partners/,,true
Red Hat,https://media.licdn.com/dms/image/C4E0BAQEto-TydTTIfQ/company-logo_200_200/0/1556712048684?e=1691625600&v=beta&t=CneeUtaoZyOup490WAWEET6upjgkUXAvZ4RD6nJ__R0,https://media.licdn.com/dms/image/D561BAQG8DSx6DxM3BA/company-background_10000/0/1680634633372?e=1683907200&v=beta&t=dqElYkXDnTIiPN5Vc9UQg0f6SihWNTIZtamzhadprgs,"Red Hat is the world’s leading provider of enterprise open source solutions, using a community-powered approach to deliver high-performing Linux, hybrid cloud, edge, and Kubernetes technologies.

We hire creative, passionate people who are ready to contribute their ideas, help solve complex problems, and make an impact. Opportunities are open. Join us. ",The leading provider of enterprise open source solutions.,1215402,http://www.redhat.com,redhat.com,Raleigh,"100 E. Davie St., Raleigh, NC 27601, US",1 (888) 733-4281,Software Development,"10,001+ employees","Raleigh, NC",1993,"cloud computing, hybrid cloud management, Linux, open source, virtualization, storage, middleware, containers, mobile, and OpenStack",3545,"3545,2993942,23306,4855292",https://www.linkedin.com/sales/company/3545/,19477,Red Hat,https://www.linkedin.com/company/3545/,2023-05-05T15:32:06.692Z,https://www.linkedin.com/company/red-hat/,,
,,,,,,,,,,,,,,,,,,,,,https://www.linkedin.com/company/10589588/,2023-05-05T15:32:28.461Z,,Unavailable company,
ZeTa-Investment & Trading,https://media.licdn.com/dms/image/C4D0BAQFqtpXj9-B8Uw/company-logo_200_200/0/1567524110675?e=1691625600&v=beta&t=pxoUqIJEByXMZCFxWxmadynR5kqMEA085852dNyfKrw,https://media.licdn.com/dms/image/C4D1BAQHbmSQSCLM_Ig/company-background_10000/0/1567524152446?e=1683907200&v=beta&t=4VJhG86Q7iZMFAt_RsygHPHcxLbq-m8ssxDC_S-aY-U,"ZeTa is zone of e-Technology and Advertising company, headquartered in Cairo-Egypt. We have been Improving and developing Digital communication and Marketing interfaces . We use software outsourcing to self-fund our own products and promote our brand. High quality is our main competitive advantage as in Time delivery, guiding our clients to the best alternatives is our top priorities.

We always provide our clients with best consultation service and guidance in both technical and marketing development and that’s why our clients rely on and trust us.",ZeTa is zone of e-Technology and Advertising company,54,http://zeta-inv.com/,zeta-inv.com,cairo,"القاهرة -المعادي بجوار كارفور المعادي أعلى البنك الأهلي, cairo, cairo 1234, EG",0112 996 4028,Investment Management,11-50 employees,"cairo, cairo",2019,,26200152,26200152,https://www.linkedin.com/sales/company/26200152/,1,ZeTa-Investment & Trading,https://www.linkedin.com/company/26200152/,2023-05-05T15:32:35.625Z,https://www.linkedin.com/company/zeta-investment-trading/,,
InnovaDigits,https://media.licdn.com/dms/image/C4D0BAQFdzgYt6EOreA/company-logo_200_200/0/1656325269726?e=1691625600&v=beta&t=kbwQhJgzZv2SkYPhxJWiefGXR3vKRZMkZhorqnDGbxU,https://media.licdn.com/dms/image/D4D1BAQFed_PoZBCTmA/company-background_10000/0/1658065639756?e=1683907200&v=beta&t=Tte9O1gRbeR-MVtSSNtDtm-ZMbWPxGyRlEut5VC-hEU,"Our solutions lead the future of innovative experiences. We are helping companies of all sizes, across all industries to build and modernize their digital transformation solutions and infrastructure by focusing on the most critical factors of success","Helping companies of all sizes, across all industries to build and modernize their digital transformation solutions",1518,https://innovadigits.com/,https://innovadigits.com,6th of October City,"25 Service Axis Road, Neighborhood 4, Eleventh District, 6th of October City, Giza Governorate  EG",,IT Services and IT Consulting,51-200 employees,"6th of October City, Giza Governorate",,"Web Development, Mobile Application, IT Outsourcing, IT Consultation, RPA, HCM, Payroll, Workflow Management system, and Digital Transformation",82583082,82583082,https://www.linkedin.com/sales/company/82583082/,33,InnovaDigits,https://www.linkedin.com/company/82583082/,2023-05-05T15:32:43.272Z,https://www.linkedin.com/company/innovadigits/,,
Senior Steps - IT training center,https://media.licdn.com/dms/image/C4D0BAQGT85EgP84Q-w/company-logo_200_200/0/1519917967928?e=1691625600&v=beta&t=6765X-u6ZcTE-lhTrYhB-EOgoS11i_Q9F0hwvlX0Sl0,,"We take immense pleasure in introducing ourselves to you as Senior Steps – IT training Center. We are one of the latest entrant in the Egyptian IT training industry with world-class facilities, qualified calibers of trainers and support engineers, widest range of courses covering entire IT learning space and technologies.
Each year Senior Steps imparts a complete plan of training days across Egypt through a variety of flexible training programs. These courses are mainly targeting the Education Sector in Egypt so as to qualify the students and fresh graduates to the Business Market.

Senior Steps started its operation in the year 2013 and since then it has steadily grown to become among the largest providers of Information Technology Training in Egypt. Senior Steps continues to solidify its industry leadership position by developing the processes for delivering quality instruction for the largest technology training segments: desktop applications and technical training’s.
Now we are offering more courses covering the different IT industries and technologies, with hands-on laboratory exercises where learners apply what they learn in class.",,696,https://www.facebook.com/seniorsteps.it,https://facebook.com/seniorsteps.it,Cairo,"El Nasr Road, 1st of Makram Ebeid, Nasr City, Cairo, Cairo,   EG",,IT Services and IT Consulting,11-50 employees,,2013,"Software Development, Software Testing& Quality Assurance, System Administration, Infra-Structure Diplomas, Delivering Graduation Projects, and Customized On-Job Training in Companies",3341963,3341963,https://www.linkedin.com/sales/company/3341963/,33,Senior Steps - IT training center,https://www.linkedin.com/company/3341963/,2023-05-05T15:32:51.666Z,https://www.linkedin.com/company/senior-steps---it-training-center/,,
EGICS GROUP,https://media.licdn.com/dms/image/C560BAQHwyS2h51rm7g/company-logo_200_200/0/1544523372545?e=1691625600&v=beta&t=vmdmVetvihLqFmrY74dgVz8IyqEg5afyLSDJGmFJ9Zc,https://media.licdn.com/dms/image/C561BAQEUTN86EWfitg/company-background_10000/0/1544526520685?e=1683907200&v=beta&t=z6SX0RXSaawwIP-sNEOaFsrmImHHfJ2-hBB_7hJd3tc,"EGICS is a leading regional technology company in power and automation that enables utility, industry, transport and infrastructure customers to improve their performance while lowering environmental impact. The EGICS Group of companies operates in MENA countries.",Industrial solutions & Concrete batching plants,1307,http://www.egics.net,egics.net,cairo,"6058 Maraj city - beside carrefour maadi - cairo egypt, cairo, cairo 11111, EG",,Automation Machinery Manufacturing,"501-1,000 employees","cairo, cairo",2004,"industrial solutions, Water purification plants, concrete batching plants, and automation",18941595,18941595,https://www.linkedin.com/sales/company/18941595/,28,EGICS GROUP,https://www.linkedin.com/company/18941595/,2023-05-05T15:32:59.047Z,https://www.linkedin.com/company/egics-group-co/,,
Namasoft,https://media.licdn.com/dms/image/C4D0BAQFCNhakMOQANQ/company-logo_200_200/0/1519916381131?e=1691625600&v=beta&t=GGjvL4VMIvYRePGPqhVS1_BTbFav7NYIDj57P3kunAU,https://media.licdn.com/dms/image/C4D1BAQGd2iY5aL8L2Q/company-background_10000/0/1519800561383?e=1683907200&v=beta&t=UDTWsO3yOOTQjPbA-_axA0sATzl1hSvtVjIUek1csqU,"Namasoft is a software house specialized in developing and supporting software for medium and small enterprises. At Namasoft, we aspire to streamline business flow and empower decision makers through cutting edge, highly adaptable software and hardware solutions.

As a young and dynamic company, Namasoft embraces the latest technologies and does away with legacy cumbersome solutions, therefore offering our customers a huge benefit over those who continue to drag long lists of outdated or even obsolete technologies.

Namasoft develops a set of highly specialized business solutions that range from CRM, Computer-Telephony Integration, Human Capital Management, Document Management Systems and other business enabling solutions. All these solutions enjoy great usability, unique RIA user interfaces, and a high degree of adaptability. Furthermore, all Namasoft solutions are cloud computing enabled and can be deployed in a public or private cloud.

Namasoft recognizes how crucial A role customer service plays when it comes to business software, and considers after-sales service an integral part of its solutions. Our qualified engineers are always ready and able to provide world class customer service to our clients anywhere in the world thanks to the reach of the Internet and today’s remote using solutions.

Namasoft stands firmly on the following simple foundation:
- World class customer service and support
- Continuous development of our product offerings using the latest technologies
- Extend our reach by opening up service centers and business partners throughout the region
- Focus and emphasis on the requirements of local businesses",Cutting-Edge Business Software,1074,http://namasoft.com,namasoft.com,Dokki,"37 Amman, Dokki, Giza, Dokki, 12111, EG",+20237615120,Software Development,51-200 employees,"Dokki, Giza",2011,"ERP, Business Software, and Business Solutions",10220772,10220772,https://www.linkedin.com/sales/company/10220772/,53,Namasoft,https://www.linkedin.com/company/10220772/,2023-05-05T15:33:07.445Z,https://www.linkedin.com/company/namasoft/,,
Mobileaders,https://media.licdn.com/dms/image/C4D0BAQGHrjQsWI-5gg/company-logo_200_200/0/1642191186835?e=1691625600&v=beta&t=_oGG7k1Hyn9S5wAzQheYH-RMoragLFk5uOdP6HNmneg,https://media.licdn.com/dms/image/C4E1BAQEMBfM7j3iYsg/company-background_10000/0/1642635395956?e=1683907200&v=beta&t=QttRkQmS6KXlL9rgu2Nj6mG58U4DDe3F1BPA2cbkt28,"Mobileaders is a custom software agency that deliver complex enterprise-level apps without compromising on outstanding user experience.  We take pride in detailed planning, transparency throughout the entire process and high reliability.",Customized Software Development for Innovative Solutions.,1076,https://mobileaders.com,https://mobileaders.com,El Mansoura,"El Esraa Street from el Teraa Street, 1st Floor, El Esraa Tower, El Mansoura, El Dakahlia 35511, EG",+20502361730,Software Development,11-50 employees,"El Mansoura, El Dakahlia",2013,,3567701,3567701,https://www.linkedin.com/sales/company/3567701/,16,Mobileaders,https://www.linkedin.com/company/3567701/,2023-05-05T15:33:15.024Z,https://www.linkedin.com/company/mobileaders/,,
Yelo,https://media.licdn.com/dms/image/C4D0BAQHQC97a_5XOcA/company-logo_200_200/0/1669894081938?e=1691625600&v=beta&t=qFo5DswRoQTbgRI7FviO5XDnhl6WqSwKYNDkW-ODCQ8,https://media.licdn.com/dms/image/D4D1BAQEsxE1zHIlqWw/company-background_10000/0/1679497578420?e=1683907200&v=beta&t=K6YCPd4Cfk89wy1w8qyYmyXXoeJlpiOlcPZO_zxwE1I,"Yelo is one of the most recognized rent-a-car brands in the region, with more than 90 branches across 23 cities in the Kingdom of Saudi Arabia, one at Dubai international airport,  and Cairo International. Yelo also covers 18 International and Domestic Airports in KSA.

We encourage our customers to visit our website or mobile application and book the car that fits their needs to avoid delays and assure to get the car that they want. 

Fueled by our vision to provide exceptional services, Yelo Membership Amyali Program is one true example. With Amyali, it's not just about earning and spending Miles - it's about managing your rental experience, going beyond the rental experience, and enjoying the real privileges of a more rewarding Loyalty program.

Our vision is to “lead the Rent car industry by defining services that exceed the expectations of our clients and build an unbreakable customer loyalty”, with the mission to “Assure our clients with a stress-free car rental experience, by providing superior services that cater to their needs and Establish the reality that ”Your comfort starts with our services”.

","مهما طال السفر 🚗
يلو دائمًا معاك 💛

حمل تطبيق #يلو
 احجز وادفع ونفذ حجزك من خلال الـ 📲
كمل_طريقك‏‎#

",8643,https://yelo.onelink.me/z7Tl/LinkedIn,https://yelo.onelink.me/z7Tl/LinkedIn,Al Yasmeen ,"Al Olaya Street, 6947, Al Yasmeen , Riyadh 11689, SA",8001000014,Travel Arrangements,"1,001-5,000 employees","Al Yasmeen , Riyadh",2000,"Rental cars, Corporate Leasing,    Limo Services,    Airport rentals,    Government Rentals,    Official Events ,   Loyalty Program,    Car Rental, and    Online Booking",71119017,71119017,https://www.linkedin.com/sales/company/71119017/,239,Yelo,https://www.linkedin.com/company/71119017/,2023-05-05T15:33:22.935Z,https://www.linkedin.com/company/yelodrive/,,
IEEE,https://media.licdn.com/dms/image/C4E0BAQGoRdJYxmIDhQ/company-logo_200_200/0/1519856132409?e=1691625600&v=beta&t=aABRbwjDvCvyfWwI_QfLNoeZo8voX9-SvuYxiqStTnk,https://media.licdn.com/dms/image/C561BAQGpx0WLWJxANw/company-background_10000/0/1548867190411?e=1683907200&v=beta&t=0YZ297wI9sXJrERDtJbg3rfg6Ucfzf0S9tnZWdph5EQ,"IEEE is the world’s largest professional association dedicated to advancing technological innovation and excellence for the benefit of humanity. IEEE and its members inspire a global community through its highly cited publications, conferences, technology standards, and professional and educational activities. IEEE is the trusted “voice” for engineering, computing and technology information around the globe.

There are more than 421,000 IEEE members in more than 160 countries. The IEEE publishes a third of the world’s technical literature in electrical engineering, computer science and electronics and is a leading developer of international standards that underpin many of today's telecommunications, information technology and power generation products and services.

For information about the IEEE - visit http://www.ieee.org.",,411053,http://www.ieee.org,ieee.org,Piscataway,"455 Hoes Lane, Piscataway, 08854, US",,Non-profit Organizations,"10,001+ employees","Piscataway, NJ",1884,"Professional Society, Publications, Conferences, and Standards",7034,7034,https://www.linkedin.com/sales/company/7034/,10061,IEEE,https://www.linkedin.com/company/7034/,2023-05-05T15:33:30.905Z,https://www.linkedin.com/company/ieee/,,
iHub: Innovation Hub,https://media.licdn.com/dms/image/C560BAQEaIyrf8xonvg/company-logo_200_200/0/1519888060579?e=1691625600&v=beta&t=EjEh9G7P38cC8gh20rTDjqEaWLTr_DyqJciuyhrVoiM,https://media.licdn.com/dms/image/C561BAQGLVqX-yNBhKg/company-background_10000/0/1519800343203?e=1683907200&v=beta&t=AcZy6FjlcxUlrCqTT3_c28uYz3CNzph_ugrspaJdwr4,"Launched in Jun'13, the Innovation Hub (iHub) serves as a resource to boost innovation, hands-on skills & soft skills in universities. iHub has two main divisions: Capacity Building Division and an Entrepreneurship Center that served 7000 students in 2017","Because we care about the Egypt’s ecosystem and innovative entrepreneurs, I Hub – was created as an arm of ASU.",3025,http://ihub.asu.edu.eg,ihub.asu.edu.eg,Abbaseya,"1 ElSarayat St, Abbaseya, Cairo 11571, EG | Giza St, Giza, Giza 11223, EG",,Education Administration Programs,201-500 employees,"Abbaseya, Cairo",2013,"Capacity Building, Entrepreneurship, Technology, and Innovation",27008395,27008395,https://www.linkedin.com/sales/company/27008395/,31,iHub: Innovation Hub,https://www.linkedin.com/company/27008395/,2023-05-05T15:33:38.803Z,https://www.linkedin.com/company/hqihub/,,
Fixawy,https://media.licdn.com/dms/image/C510BAQHOr2XZAdiUhQ/company-logo_200_200/0/1519904905578?e=1691625600&v=beta&t=ch3Qb3eTohI7a4jwdp7oGOsk2s6Cc3H7pjgCONquQ9A,,Fixawy is an information technology company for developing App that connect fixers with customers in every city.,,633,http://www.fixawy.net,fixawy.net,,,,Information Technology & Services,11-50 employees,,2016,"market place, marketing, Mobile application, and construction",15145292,15145292,https://www.linkedin.com/sales/company/15145292/,13,Fixawy,https://www.linkedin.com/company/15145292/,2023-05-05T15:33:45.648Z,https://www.linkedin.com/company/fixawy/,,
EOIP,https://media.licdn.com/dms/image/C560BAQFScfaW5jkr0Q/company-logo_200_200/0/1645792869541?e=1691625600&v=beta&t=FFJaPMeerU-SdFypxqs_J7hMNaatzYqPEAz4rl2CliQ,,"EOIP, the Engineering Office for Integrated Projects, is a leading research and development company in the fields of Industrial Electronics, Control Systems, Signal Processing, Communication Systems, and IoT. Established in 1988, EOIP is based in Cairo, Egypt, and has a mission to develop innovative projects that serve the national sectors. Over the past years, the company has been involved in many successful projects that have proven to be competitive with international ones and have more than ten patents in the field of Digital Electronic Systems.

EOIP has a strong reputation in the industry, having published over 200 Journal & Conference papers in the past ten years. With a goal to expand its business to the Middle East area. The company has established expertise in various areas including Embedded Systems Design, Software Development, Training, Industrial Control, Electronic Industry, and Automatic Control. With a commitment to providing high-quality services, EOIP is well-positioned to meet the needs of its clients and partners.",Engineering Office for Integrated Projects,550,,,Maadi,"Maadi,   EG",,"Appliances, Electrical, and Electronics Manufacturing",51-200 employees,,1988,,79137870,79137870,https://www.linkedin.com/sales/company/79137870/,26,EOIP,https://www.linkedin.com/company/79137870/,2023-05-05T15:33:52.660Z,https://www.linkedin.com/company/eoip/,,
Mendel.ai,https://media.licdn.com/dms/image/C560BAQGNyQjwMQoaRQ/company-logo_200_200/0/1596847070338?e=1691625600&v=beta&t=VKzP0D0x9-oqdSybT4k526KRelW9B7Ihd6IqIHHwBuI,https://media.licdn.com/dms/image/D561BAQE1xMp72ivl9g/company-background_10000/0/1683144453606?e=1683907200&v=beta&t=GVhXTuYxiFud08WOsqklUOD0V4RwNfK7Bd7sj_apeew,"At Mendel.ai, our mission is to use our novel AI aided by clinical experts to streamline global oncology research by organizing real world data and automating clinical trials. We build software to solve problems at each stage of the clinical trial process, from feasibility to post-trial pharmacovigilance. 

We strive for excellency, to be authentic and original, and to make a difference by greeting our challenges head on.

Please visit our website, mendel.ai, to learn more about our company, goals, and values.",Advancing Clinical Research by Combining Machine Precision and Human Intuition,6220,https://mendel.ai/,https://mendel.ai,San Jose,"333 W San Carlos St, 5th Floor, San Jose, California 95110, US",(877) 620-9080,Software Development,11-50 employees,"San Jose, California",2016,"Artificial Intelligence in Medicine, Treatment Recommendations, Cancer Treatments, Healthcare, Clinical Trials, Oncology, Healthtech, Machine Learning, NLP, OCR, Pharmacovigilance, Feasibility Study, Site Activation, Cohort Identification, Real World Evidence, Real World Data, Patientless Trials, Virtual Control Arm, and AI",12905733,12905733,https://www.linkedin.com/sales/company/12905733/,77,Mendel.ai,https://www.linkedin.com/company/12905733/,2023-05-05T15:34:00.490Z,https://www.linkedin.com/company/mendel-ai/,,
V Apps,https://media.licdn.com/dms/image/C510BAQEpABKXvSyMjA/company-logo_200_200/0/1519870073530?e=1691625600&v=beta&t=A8IYCqkJ-WKyrL_fg-q_X5YB_LRYd79g0-ue2GosP-g,,"V Apps is an Egyptian Information Technology Solution Provider offering software development services to enterprises and individual.
we are a software house dedicated to enterprise and E-Business solutions , We are providing outsourced software product development services and custom-made software solutions to companies.",,477,http://v-apps.co/,v-apps.co,,,,Software Development,11-50 employees,,,,10602593,10602593,https://www.linkedin.com/sales/company/10602593/,5,V Apps,https://www.linkedin.com/company/10602593/,2023-05-05T15:34:07.556Z,https://www.linkedin.com/company/v-apps/,,
aprcot,https://media.licdn.com/dms/image/C4D0BAQEQtYoKWXLHdQ/company-logo_200_200/0/1519893570832?e=1691625600&v=beta&t=G6Op4EzQwq8E0L872cBaQaY4qQIMOMVcksv9HUS-wMg,,"aprcot is an artificial intelligence solution, using programmatic advertising techniques, helping advertising agencies and corporations to manage digital advertising campaigns in an efficient, intelligent, autonomous and reliable way.

aprcot automates multiple digital marketing channels, it allows the clients to run campaigns on Facebook, Instagram & Google Network at the same time.",Digital Marketing & Technology,3832,http://www.aprcot.com,aprcot.com,Dokki,"Abi Emama Street, No. 10, Dokki, Cairo 12311, EG",,Advertising Services,11-50 employees,"Dokki, Cairo",2014,Digital Marketing and Programmatic Online Advertisements,9312847,9312847,https://www.linkedin.com/sales/company/9312847/,28,aprcot,https://www.linkedin.com/company/9312847/,2023-05-05T15:34:15.000Z,https://www.linkedin.com/company/aprcot/,,
AOI Training Academy,https://media.licdn.com/dms/image/C4D0BAQEAA_vKaBgJTw/company-logo_200_200/0/1649229690577?e=1691625600&v=beta&t=yT0zx60P1xAMcY6J-jYAU9TF-jh9o_bZEqwF2if7pFU,https://media.licdn.com/dms/image/C4D1BAQHrLZNHL96O0w/company-background_10000/0/1649314300209?e=1683907200&v=beta&t=W5kpS_pU13q7daEmSQ-Kj_Xb5uDrxq3GOTuL37xaPKg,AOI training academy is aiming to develop and improve the skills of the participant in the field of digital industry.,AOI Training Academy was established to qualify participants on digitalization in Industry ,1304,https://academy.aoi.org.eg/,https://academy.aoi.org.eg,Cairo,"Suez Road , AOI Factories, Cairo,   EG",01275806660,Automation Machinery Manufacturing,201-500 employees,,2021,Industry training and IT training,78331486,78331486,https://www.linkedin.com/sales/company/78331486/,28,AOI Training Academy,https://www.linkedin.com/company/78331486/,2023-05-05T15:34:22.623Z,https://www.linkedin.com/company/aoi-training-academy/,,
Pharaonic.io,https://media.licdn.com/dms/image/C4D0BAQE-eAx8a0Aznw/company-logo_200_200/0/1646862775999?e=1691625600&v=beta&t=TCxgf6fiomWukAEJhcUO3W_3nB5i2apiYwARKaHhFVQ,https://media.licdn.com/dms/image/C561BAQGubKX0GRuQXw/company-background_10000/0/1622189785113?e=1683907200&v=beta&t=NP9XMYMJPFuKlW8t6Ibo76rble8DmNLkuU6HzccVe5o,Pharaonic site contains a variety of packages and services for the programming field. Our main goal is helping every developer around the world finish their project as quickly as possible and with minimal effort.,Packages and Services for Developers.,193,https://pharaonic.io,https://pharaonic.io,Alexandria Governorate,"Alexandria Governorate,   EG",+201060868599,Software Development,2-10 employees,,2021,"PHP, Laravel, and Livewire",74172473,74172473,https://www.linkedin.com/sales/company/74172473/,1,Pharaonic.io,https://www.linkedin.com/company/74172473/,2023-05-05T15:34:30.192Z,https://www.linkedin.com/company/pharaonic-io/,,
Fluxx,https://media.licdn.com/dms/image/C560BAQEuovRhEYdSXA/company-logo_200_200/0/1552339141648?e=1691625600&v=beta&t=k4YL4_686pn1DUhwDL_wwb1OLVUNo6fbkk6FcqChiOk,https://media.licdn.com/dms/image/C561BAQEVcJzWze-isQ/company-background_10000/0/1552339199638?e=1683907200&v=beta&t=R-GRevn7Mc0PE6MaDRlTj-YOodiiRfCseAzQR_vWsS4,"Fluxx has a mind for technology and a heart for philanthropy. Our secure cloud-based platform makes collaboration, clarity, and organization of data effortless. Your grantmaking organization can dramatically shorten its processes and make more strategic decisions with Fluxx. Take your grantmaking to new heights with Fluxx’s robust automation, key integrations, and versatile reporting for grants, investments, employee giving, contracts, and more.",,11667,https://www.fluxx.io,https://fluxx.io,San Francisco,"88 Kearny St, Suite 1300, San Francisco, California 94108, US",,Desktop Computing Software Products,51-200 employees,"San Francisco, California",2010,"Enterprise Software, Cloud-based Software, User Interface, Customer Relationship Management (CRM), Workflow, Business Intelligence, Collaboration, Integrations, Operations, Consulting, Philanthropy, Grantmaking, Impact Measurement, and Social Impact",1448580,1448580,https://www.linkedin.com/sales/company/1448580/,99,Fluxx,https://www.linkedin.com/company/1448580/,2023-05-05T15:34:37.867Z,https://www.linkedin.com/company/fluxx/,,
Nilecode,https://media.licdn.com/dms/image/C4D0BAQGOgY9cz6gBZA/company-logo_200_200/0/1519936289606?e=1691625600&v=beta&t=aTEHzeYM33EXwu5AglK002wQcanl7niLObVUJdedOFY,https://media.licdn.com/dms/image/C4D1BAQERX1ohWJ0Hnw/company-background_10000/0/1569622619477?e=1683907200&v=beta&t=rF3vbwdsHjLRJTZJmSy61SO9VVWk7B8igZ7UYRzJO4E,"Nilecode is an Egypt-based multi-service web solutions provider that caters to domestic, regional, and international clients. Made up of a team of ambitious youths who are in constant engagement with the latest of trends and the most advanced of technologies, the company not only offers the most adequate strategies and designs in accordance with the clients’ needs, but is also distinguished by the promptest of responses to all kinds of arising problems and/ or inquiries.

Striving for innovation and motivated to produce the most creative of ideas, Nilecode has since its inception been eager to address all the challenges that usually face companies working in the same field, which is demonstrated in its ability to build multi-lingual web applications, tuning performance of small-scale projects to achieve scalability, reach a standard of usability that overcomes common obstacles faced by Internet users, and guarantee the highest levels of security in a medium where protection is of the utmost importance.

Last but not least, Nilecode stands out amongst other companies in the way it offers first-rate services with the most affordable of prices, a strategy that has so far enabled us to maintain long-term relationships with clients who either come back for more support or who do not hesitate to recommend Nilecode to other potential clients in search of a reliable provider.",Advanced Web and Mobile Applications Development ,2394,http://www.nilecode.com,nilecode.com,Maadi,"1 Nadi El Etisalat St., Maadi, 11518, EG",+201001036065,IT Services and IT Consulting,11-50 employees,"Maadi, Cairo",2011,"Web Development, Web Design, Mobile applications development, Game Development, Internet of Things (IoT), UI/UX Engineering, Cosultancy & Training, Social media engineering, System hosting, Digital advertising, AI, PBX, and Mobile Applications development",1904538,1904538,https://www.linkedin.com/sales/company/1904538/,26,Nilecode,https://www.linkedin.com/company/1904538/,2023-05-05T15:34:45.413Z,https://www.linkedin.com/company/nilecode/,,
EGROBOTS,https://media.licdn.com/dms/image/D4D0BAQE24OgDysCUKg/company-logo_200_200/0/1667029199550?e=1691625600&v=beta&t=eoEDEap4kfztg28GKLgYheBul0-zbz3LyGzmf_THM9o,https://media.licdn.com/dms/image/D4D1BAQF7eOUDbBkfxw/company-background_10000/0/1667030261324?e=1683907200&v=beta&t=sI8KtPhfAUrP2q8dXrGmw3TlqBDfFc1vsVNPN0N6tfQ,More crops with less resources,"More data, accurate decisions, more productivity, more profit",916,http://www.egrobots.com,egrobots.com,Alexandria,"Gileem, Alexandria,   EG",+201553718894,Farming,2-10 employees,,2021,"AgTech, AgriTech, Robotics, Artificial Intelligence, and Analytics as a Service",17995678,17995678,https://www.linkedin.com/sales/company/17995678/,5,EGROBOTS,https://www.linkedin.com/company/17995678/,2023-05-05T15:34:52.287Z,https://www.linkedin.com/company/egrobots/,,
