name,logo,banner,description,tagLine,followerCount,location,companyAddress,industry,companySize,founded,specialties,mainCompanyID,linkedinID,salesNavigatorLink,employeesOnLinkedIn,companyName,query,timestamp,companyUrl,website,domain,phone,headquarters,error,isClaimable
Ideasgym,https://media.licdn.com/dms/image/C4E0BAQHs_KxkJ9SnIw/company-logo_200_200/0/1541322462379?e=1691625600&v=beta&t=xAJXF15cUmOvGitxKXRiWPFDk-d8iSykGZR9XIMEe6w,https://media.licdn.com/dms/image/C4E1BAQHlpvF6kZhTHg/company-background_10000/0/1574259618800?e=1683896400&v=beta&t=QTruXMTi-RXphFtOJd_6Pu1-Hu9Of8pPiws5Wjn0BR0,"Ideasgym creates and produces digital Education content and provides training for students, families and teachers.

Ideasgym cooperates with content providerw , global Tech companies, universities, schools and organization to tackle the STEM skills gap problem through innovative content and experiences ","Ideasgym creates and produces digital Education content and provides training for students, families and teachers ",760,Alexandria,"6 Makky Street, Saba Basha, Alexandria, Alexandria 21411, EG",Education,11-50 employees,2011,"Edtech, Educational Technology, Teachers training, k-12, Online Courses, Online shop, Educational Kits, STEM Education, STEM Capacity Building, Ideasgym Labs, Schools, Science, Technology, Engineering, Math, and Smart Citizen",18318689,18318689,https://www.linkedin.com/sales/company/18318689/,10,Ideasgym,https://www.linkedin.com/company/18318689/,2023-05-05T12:55:59.508Z,https://www.linkedin.com/company/ideasgym/,http://www.ideasgym.com,ideasgym.com,,"Alexandria, Alexandria",,
,,,,,,,,,,,,,,,,,https://www.linkedin.com/company/26536522/,2023-05-05T12:56:22.457Z,,,,,,Unavailable company,
IFFCO Group,https://media.licdn.com/dms/image/C4D0BAQH2EKdYcxJU-Q/company-logo_200_200/0/1676549085620?e=1691625600&v=beta&t=rYnYEESTy6hCpDJZBE9HTBeTjwS-H1XQCx23KF-3NMo,https://media.licdn.com/dms/image/D4D1BAQG5kD4yxDJMOQ/company-background_10000/0/1676719972565?e=1683896400&v=beta&t=MRmKa8qsxmDWjFaI5XeEMhguYIQufa72HOLJAI3mEfM,"Established in 1975, IFFCO is a multinational group headquartered in the United Arab Emirates with leading FMCG brands and a portfolio of industry solutions and services enriching the lives of millions of consumers and customers globally.

Having developed global leading FMCG brands such as London Dairy, Tiffany, Noor, Rahma, Al Baker, Hayat and Savannah, supported by 95 operations in 49 countries with 80 brands available over 100 markets, IFFCO Group continues to offer unmatched consumer value throughout the Middle East, Africa, Europe, Asia, and the Americas. 

We believe that real growth lies in diversity. With a portfolio catering to multiple consumer mind-sets, our business is broadly segmented as: 
◆ Impulse Foods ◆Culinary ◆Oils ◆Beauty ◆Agri Business ◆Packaging ◆Sales and Distribution

IFFCO Vision

“The Preferred Provider of Sustainable Value-Added Products and Services For Everyone, Everywhere & Every Day.”",Investing in the future,336182,Dubai,"Al Sarayat Street, Dubai, 3181, AE",Food and Beverage Manufacturing,"10,001+ employees",1975,"Manufacturing, Trading, Distribution, Beverages, Confectionery, Ice Cream, Chocolate, Oils & Fats, Personal Care, Flour, Packaging, Culinary, Biscuits, Pasta, Fresh Poultry & Eggs, Bakery Ingredients, Frozen Foods, Out of Home Products & Services, Industrial, Oleo Chemicals, Snacks, Wafers, Animal Nutrition, and Plant based",164300,164300,https://www.linkedin.com/sales/company/164300/,5786,IFFCO Group,https://www.linkedin.com/company/164300/,2023-05-05T12:56:37.334Z,https://www.linkedin.com/company/iffco/,http://www.iffco.com,iffco.com,+971 4 2150000,"Dubai, Dubai",,
Edval Education,https://media.licdn.com/dms/image/C4D0BAQEkJys3V7_o5A/company-logo_200_200/0/1524181079024?e=1691625600&v=beta&t=xxVeqndq0mRoFSJlQiYclwGzfshFc-I5G8C45eIgQlY,https://media.licdn.com/dms/image/C4D1BAQF9b1fWGRlAgg/company-background_10000/0/1600818095366?e=1683896400&v=beta&t=FY361oH992DwyUn99JK_UA19xjYkeef_i-CeXsqT2gQ,"Experts in the art of timetabling, Edval Education has been focused on solutions-based software and services for school timetabling for over 20 years. We aim to help schools get better outcomes for teachers and students through smarter timetabling.

A trusted provider of unparalleled software, timetable solutions and support, we listen to our customers, creating innovative software based on their needs and requirements.

Why choose Edval? 🏆

🤝🏽Our experience – we’ve seen it all

With over 1400 schools in 16 countries, Edval is able to meet even the most stringent requirements of the majority of curriculums schools run.

💖Our reputation – schools love us

On average, 99% of our customers renew their Edval licence year on year and we routinely have a 95% customer happiness rating for our support services.

🖥Our solutions – state of the art scheduling

Our solutions use state of the art algorithms to automate many of the typically manual processes of other solutions on the market, saving schools time and money.","Revolutionizing school operations with extraordinary software solutions 🏆
",826,Surry Hills,"83 - 97 Kippax St, Surry Hills, NSW 2010, AU",Education Administration Programs,51-200 employees,1998,"Education scheduling, Elective line block generation, Timetabling, High level curriculum planning, School management, Exam Scheduling, School operations, and Scheduling",367575,367575,https://www.linkedin.com/sales/company/367575/,30,Edval Education,https://www.linkedin.com/company/367575/,2023-05-05T12:56:54.007Z,https://www.linkedin.com/company/edval-timetables/,http://www.edval.education,edval.education,,"Surry Hills, NSW",,
LeGate Online Booking (Wholesaler),https://media.licdn.com/dms/image/C560BAQFb_4YLXh2WBg/company-logo_200_200/0/1519865164025?e=1691625600&v=beta&t=ObEyFzeciIectVKGbyk1SNvU0oqLND3j3UcqrQYePYc,,"LeGate.com.sa is a wholesale global hotel reservation system that enables travel and tourism agencies  and Haj & Umrah companies to search, compare and book from over 200,000 hotels worldwide with the possible lowest prices. Our multi-lingual online booking system was designed and developed with versatile and unrivaled technology to serve all your travel needs, save your time and improve your agency's performance.
Our booking system offers you 24/7 free access to our hotel database. Also, through the XML interface system, with its various integration and affiliation modules you can sell hotels to your clients through your own branded website.",,525,Jeddah,"Ahmed Al-Hifzi Street, Jeddah, Makkah 21491, SA",Hospitality,11-50 employees,2010,"Wholesale Booking, Travel & Tourism, and Hotel Online Booking",5052867,5052867,https://www.linkedin.com/sales/company/5052867/,19,LeGate Online Booking (Wholesaler),https://www.linkedin.com/company/5052867/,2023-05-05T12:57:10.186Z,https://www.linkedin.com/company/legate-online-booking/,https://www.legate.com.sa/Login.aspx,https://legate.com.sa/Login.aspx,,"Jeddah, Makkah",,
EgSA-Egyptian Space Agency,https://media.licdn.com/dms/image/C4D0BAQHJIJjZiHPsTg/company-logo_200_200/0/1636204138699?e=1691625600&v=beta&t=fGhMxpMM_cMvXRSFBTDA-wUrYkTxZ1hImD2VqAtnzno,https://media.licdn.com/dms/image/C4D1BAQEdf81hm97hOQ/company-background_10000/0/1636204097983?e=1683896400&v=beta&t=1B7G4LZUEAu0QGBXqI1w7PvwzbqljRfYakB4YTIlK2M,"OUR STORY 
The Egyptian Space Agency is an Egyptian public economic authority established in August 2019, with a legal personality and affiliated with the President of the Arab Republic of Egypt.
Established by Law No. 3 of 2018 which aims to create, transfer space technology development, localization and own self-capabilities to build & launch satellites from Egyptian territory. In 2019, The Egyptian President Abdel Fattah Al-Sisi announced the appointment of Dr. Mohamed ElKoosy as the CEO of the Egyptian Space Agency",Explore the achievements of the Egyptian Space Agency and the latest events on our social media page,5445, Second New Cairo,"The Second Ring Road,  Second New Cairo,  Cairo Governorate  EG",Aviation & Aerospace,201-500 employees,2018,,70912524,70912524,https://www.linkedin.com/sales/company/70912524/,120,EgSA-Egyptian Space Agency,https://www.linkedin.com/company/70912524/,2023-05-05T12:57:25.221Z,https://www.linkedin.com/company/egyptian-space-agency/,https://egsa.gov.eg/,https://egsa.gov.eg,,"Second New Cairo,  Cairo Governorate",,
Asia School of Business,https://media.licdn.com/dms/image/C560BAQFbPqB7HPbhPw/company-logo_200_200/0/1631011216026?e=1691625600&v=beta&t=Vmk1mBQgzmXV02yQvhNwXN-DkjffgBYsaNha2xRQaTE,https://media.licdn.com/dms/image/D561BAQGId0SxV5I4Vw/company-background_10000/0/1658213229505?e=1683896400&v=beta&t=i2BtjSUJaITR8uY87Otm078v0EV0gnk-2Q--AmCu8Bk,"Asia School of Business was established in collaboration with MIT Sloan School of Management and with the support of Bank Negara, the Central Bank of Malaysia",Established by Central Bank of Malaysia in collaboration with MIT Sloan. The most innovative MBA program in the world!,12760,Kuala Lumpur,"Sasana Kijang, 2, Jalan Dato Onn, Kuala Lumpur,  50480, MY",Education Management,201-500 employees,2015,"MBA, Executive Education, Action Learning, Innovation, Emerging Economies, Entrepreneurship, Business, MIT Sloan, and Finance",10123780,10123780,https://www.linkedin.com/sales/company/10123780/,184,Asia School of Business,https://www.linkedin.com/company/10123780/,2023-05-05T12:57:40.059Z,https://www.linkedin.com/school/asbedu/,https://asb.edu.my,https://asb.edu.my,+603 9179 4110,,,
RMZtech,https://media.licdn.com/dms/image/C560BAQEcev7BVEZOFA/company-logo_200_200/0/1549840418526?e=1691625600&v=beta&t=-QJHiOjbeslxF_BLQTCUiZQfVkThAtpbtirGF-xyiZo,https://media.licdn.com/dms/image/C4E1BAQFKc9CpZMeAiQ/company-background_10000/0/1588609911058?e=1683896400&v=beta&t=86vBKVCi178kVqHt5RBFwr7oYYiPW1rrI1QDC944O1E,"RMZtech is an Egyptian Co. established in 2007 by a number of highly qualified persons with over 20 years’ experience in Business Development & Software Engineering
We are a full-service MarTech Agency that can handle all the E Marketing Services,Web Solutions Development and Digital Advertising Creations for all kinds of business , 
including strategic planning ,branding ,video production ,digital marketing plans,web/App development,and more
             What we do:
             have you got ambitious growth plans and need the right marketing technology strategy to enable this?
            Are you looking to implement or configure your marketing automation platform or a web based platform?
That’s where we step in.
We can help you skyrocket the ROI of your marketing campaign while you spend all your time and effort on running your business without having to spend tons of money or time to assemble an in-house technical team.
            We can help build your marketing strategy & road-map that powers your overall business goals.
            Our team of pioneers can set up your marketing automation & digital solution from beginning to end.requirement gathering  & scoping, technical implementation, testing to on-boarding 
   Our Vision: We aspire to be marketing partners with our clients by delivering results oriented full marketing support and building a sustainable, growth-oriented organization for the long-term success of our clients and employees
    Our Mission: We are dedicated to providing our clients with innovative integrated marketing solutions with the highest quality and efficiency to help them grow their businesses and realize their marketing goals.
We are committed to maintaining a healthy and motivational work atmosphere in which individuals are encouraged to take on responsibility, develop new ideas and use their talents and abilities to realize their fullest potential
",The Platform,393,Alexandria,"nokla basha, 10, Alexandria, Egypt  EG",IT Services and IT Consulting,11-50 employees,2007,"Digital Marketing, Training & Consultations, Web Solutions, and Mobile Apps Development",28621919,28621919,https://www.linkedin.com/sales/company/28621919/,10,RMZtech,https://www.linkedin.com/company/28621919/,2023-05-05T12:57:56.185Z,https://www.linkedin.com/company/rmztech/,http://www.RMZtech.net,RMZtech.net,01101179100,"Alexandria, Egypt",,
Novelari,https://media.licdn.com/dms/image/C4D0BAQGNQJFFV2RZUQ/company-logo_200_200/0/1572779835981?e=1691625600&v=beta&t=kbC-Nt1Gj3XDcSsRqlyzZRu7GXsh-QjVGUikUd-m_vw,,"Innovation accelerator helping research-based startups grow faster. The company is founded in Cairo, Egypt and works with the Swedish institute of computer science to support a number of startups. We build on expertise in a number of areas including distributed systems, network optimisation,  big data and cloud computing.",,472,,,Software Development,11-50 employees,2013,,5304702,5304702,https://www.linkedin.com/sales/company/5304702/,1,Novelari,https://www.linkedin.com/company/5304702/,2023-05-05T12:58:12.834Z,https://www.linkedin.com/company/novelari/,http://www.novelari.com,novelari.com,,,,
Information Technology Institute (ITI),https://media.licdn.com/dms/image/C560BAQGK3uuhQer46g/company-logo_200_200/0/1519885145295?e=1691625600&v=beta&t=Bf3aLHlXokKCA6hb-c2ce25NdXZX8llly_iq4RibpOw,https://media.licdn.com/dms/image/C4E1BAQEXCCZTyBlXvA/company-background_10000/0/1601466321880?e=1683896400&v=beta&t=bxauXOpIbKFlb585vA3l8wkkbQzbh_VMZPcer6t-mb0,"The Information Technology Institute (ITI) in Egypt is directly affiliated to the Ministry of Communications and Information Technology (MCIT).
The ITI started in 1993 to help create the Human Infrastructure for IT professionals from different disciplines.",ITI initially set up to provide specialised software development programs to fresh graduates.,134627,Giza,"B148 Smart Village, Km 28 Cairo-Alexandria Road, Giza, Giza,   EG",Professional Training and Coaching,201-500 employees,1993,Professional Training,294614,294614,https://www.linkedin.com/sales/company/294614/,3369,Information Technology Institute (ITI),https://www.linkedin.com/company/294614/,2023-05-05T12:58:28.093Z,https://www.linkedin.com/school/information-technology-institute-iti-/,http://www.iti.gov.eg,iti.gov.eg,,,,
AlMakinah,https://media.licdn.com/dms/image/C4E0BAQF5Vdxffz1StQ/company-logo_200_200/0/1519871819810?e=1691625600&v=beta&t=HGJZRkSLw4rOgw8eZX8CrnruHvNTGaw1IwudbDHL454,https://media.licdn.com/dms/image/C4E1BAQHj-9_CKSIlcA/company-background_10000/0/1519801395235?e=1683896400&v=beta&t=OJH_QlXVxMBfLCbuUA-hMYd5C9cCA9gD1dQVhMugWp0,AlMakinah is a programming bootcamp that aims to produce production-tier software developers in a short amount of time.,,617,Cairo,"Cairo,   EG",Software Development,2-10 employees,2015,"Software Engineering, Coding bootcamp, Frontend Web Development, User Experience Design, and Full Stack Web Development",10528428,10528428,https://www.linkedin.com/sales/company/10528428/,2,AlMakinah,https://www.linkedin.com/company/10528428/,2023-05-05T12:58:45.189Z,https://www.linkedin.com/school/almakinah/,http://www.almakinah.com,almakinah.com,,,,
Axess intelligent technology,https://media.licdn.com/dms/image/C4E0BAQEeZxwTGLzCpA/company-logo_200_200/0/1640344627503?e=1691625600&v=beta&t=a-3mdQjdT9AOnjf8F84zKb7V1IKN5HgObt-gR7n7_xg,,Enabling autonomous checkout for brick & mortar retailers with our modern AI-powered computer vision platform. just grab and go!,AI and computer vision are at the heart of the next generation of retail innovation,111,Cairo,"New Cairo Tunnel, Cairo,   EG",Retail,2-10 employees,2021,,80958621,80958621,https://www.linkedin.com/sales/company/80958621/,3,Axess intelligent technology,https://www.linkedin.com/company/80958621/,2023-05-05T12:59:01.806Z,https://www.linkedin.com/company/axess-intelligent-technology/,http://www.axess-go.com,axess-go.com,+201097768661,,,
Enozom Software,https://media.licdn.com/dms/image/C4D0BAQF_hAa7JjKfHg/company-logo_200_200/0/1615636684515?e=1691625600&v=beta&t=VQHIW-mVYjtnABSsEzjyduQRnAwvmi4ILMqZEc4i0A0,https://media.licdn.com/dms/image/C4D1BAQH4YErFie5Qgw/company-background_10000/0/1648158838954?e=1683896400&v=beta&t=DYtETHA2GFZG6i9v3rIEt0QJy_7YIA_n5SnrjW9BhbA,"Enozom is a software development company based in Alexandria, Egypt. Enozom provides its customers with cloud-enabled software applications, Custom software solution and mobile applications. Enozom serves Small and Medium Enterprises SMEs and acting as an outsourcing destination for large software firms all over the world.


Enozom implements agile software development methodology that shows flexible and rapid response to different types of change.

Enozom's team is capable of using latest technologies to be able to choose the suitable technology that perform better for customer requirements, environment and constraints.

Enozom follows quality control standards and methodologies in which the software passed through different tests to ensure the quality goals, the fulfillment of the customer requirements in addition to the software response in high load.",A team you can rely on,7062,Alexandria,"2 Rasmi Basha Street, Gleem, Alexandria, Alex. 21532, EG",Information Technology & Services,11-50 employees,2012,"Web Development, Mobile Applications Development, SAAS Applications, and Software Outsourcing",2654128,2654128,https://www.linkedin.com/sales/company/2654128/,46,Enozom Software,https://www.linkedin.com/company/2654128/,2023-05-05T12:59:17.020Z,https://www.linkedin.com/company/enozom-software/,https://www.enozom.com,https://enozom.com,+203 5866344,"Alexandria, Alex.",,
,,,,,,,,,,,,,,,,,https://www.linkedin.com/company/1350386/,2023-05-05T12:59:41.381Z,,,,,,Unavailable company,
